cod;nome;período;valor
43;RS;2008;3.834
12;AC;2008;6.274
15;PA;2008;3.14
52;GO;2008;3.9
25;PB;2008;1.03
51;MT;2008;4.61
32;ES;2008;3.551
26;PE;2008;2.59
17;TO;2008;2.501
41;PR;2008;5.97
23;CE;2008;1.28
11;RO;2009;5.34
35;SP;2009;2.808
31;MG;2009;2.766
42;SC;2009;2.941
13;AM;2009;1.96
33;RJ;2009;3.122
43;RS;2009;3.84
15;PA;2009;2.62
32;ES;2009;3.75
23;CE;2009;1.873
28;SE;2009;2.425
50;MS;2009;6.466
16;AP;2009;2.42
27;AL;2009;0.51
14;RR;2009;19.062
17;TO;2009;4.65
26;PE;2009;2.412
22;PI;2009;1.993
51;MT;2009;6.49
53;DF;2009;2.32
25;PB;2009;1.38
52;GO;2009;3.61
21;MA;2009;2.33
24;RN;2009;3.081
29;BA;2009;1.72
41;PR;2009;6.62
12;AC;2009;6.45
32;ES;2010;3.9
52;GO;2010;3.629
51;MT;2010;4.461
41;PR;2010;6.91
15;PA;2010;3.352
17;TO;2010;1.59
28;SE;2010;1.73
43;RS;2010;3.776
25;PB;2010;1.05
50;MS;2010;5.059
29;BA;2010;2.287
31;MG;2010;2.88
22;PI;2010;2.743
35;SP;2010;2.86
42;SC;2010;3.31
23;CE;2010;1.89
13;AM;2010;1.275
53;DF;2010;2.381
11;RO;2010;3.718
12;AC;2010;3.139
16;AP;2010;2.558
26;PE;2010;1.67
27;AL;2010;1.45
24;RN;2010;2.091
21;MA;2010;2.24
14;RR;2010;3.29
33;RJ;2010;2.852
41;PR;2011;5.42
22;PI;2011;1.058
14;RR;2011;1.565
28;SE;2011;2.797
26;PE;2011;1.214
35;SP;2011;2.55
43;RS;2011;3.62
51;MT;2011;4.65
17;TO;2011;5.368
32;ES;2011;4.49
29;BA;2011;2.208
25;PB;2011;2.249
15;PA;2011;2.953
52;GO;2011;4.78
23;CE;2011;1.58
33;RJ;2011;2.93
12;AC;2011;4.072
21;MA;2011;2.53
24;RN;2011;1.59
13;AM;2011;3.512
11;RO;2011;4.5
42;SC;2011;2.36
31;MG;2011;3.295
50;MS;2011;5.54
16;AP;2011;4.053
53;DF;2011;2.42
27;AL;2011;1.62
27;AL;2012;2.831
52;GO;2012;5.183
41;PR;2012;6.07
35;SP;2012;2.484
14;RR;2012;17.924
33;RJ;2012;3.107
22;PI;2012;1.347
43;RS;2012;4.145
16;AP;2012;2.92
24;RN;2012;2.23
26;PE;2012;1.25
23;CE;2012;1.81
13;AM;2012;6.629
11;RO;2012;4.375
21;MA;2012;2.28
42;SC;2012;2.929
53;DF;2012;1.73
31;MG;2012;3.09
29;BA;2012;2.55
32;ES;2012;2.011
28;SE;2012;2.949
25;PB;2012;1.09
17;TO;2012;5.242
15;PA;2012;3.15
50;MS;2012;4.99
51;MT;2012;5.88
12;AC;2012;1.031
15;PA;2013;4.13
41;PR;2013;5.58
17;TO;2013;4.44
22;PI;2013;2.53
12;AC;2013;3.37
53;DF;2013;1.729
23;CE;2013;2.43
31;MG;2013;3.132
27;AL;2013;4.32
33;RJ;2013;3.36
24;RN;2013;2.84
51;MT;2013;4.856
16;AP;2013;2.45
43;RS;2013;3.52
